Lab,Site ,Year,Sample,Lat. ,Long. ,LBC 1,LBCeq,pH 2,Ca,K,Mg,Mn,P,Zn
51861,ROME ,2021,"0-4, Site 1",34.3306,-85.1444,455,1320,5.62,1644,349.7,192.3,93.1,69.3,4.05
51862,ROME ,2021,"0-4, Site 2",34.3302,-85.1439,576,1670,5.55,2076,279.5,224.9,107.9,127.2,10.20
51863,ROME ,2021,"0-4, Site 3",34.3298,-85.1434,533,1546,5.78,2165,316.9,339.0,118.2,76.2,6.71
51864,ROME ,2021,"0-4, Site 4",34.3294,-85.14296,572,1659,5.35,1795,209.5,240.3,112.3,125.5,11.92
51865,ROME ,2021,"0-4, Site 5",34.3291,-85.1424,538,1560,5.54,2041,154.3,269.6,116.6,163.3,13.17
51866,ROME ,2021,"0-4, Site 6",34.3287,-85.14189,491,1424,5.49,1878,82.3,180.9,107.9,182.6,14.15
51867,ROME ,2021,"0-4, Site 7",34.3283,-85.14139,576,1670,5.37,1937,113.4,188.3,127.8,150.9,15.79
51868,ROME ,2021,"0-4, Site 8",34.3279,-85.1409,601,1743,5.32,1929,141.6,172.5,115.6,191.6,19.36
51869,ROME ,2021,"0-4, Site 9",34.3275,-85.1405,593,1720,5.20,1690,117.0,182.6,134.5,165.5,17.12
51870,ROME ,2021,"0-4, Site 10",34.3271,-85.1399,527,1528,5.22,1378,329.2,169.2,130.7,137.5,8.25
51871,ROME ,2021,"0-4, Site 11",34.331,-85.1439,478,1386,5.32,1565,171.4,166.8,115.6,147.3,13.46
51872,ROME ,2021,"0-4, Site 12",34.3306,-85.1434,587,1702,5.22,1872,170.1,188.0,137.3,139.6,13.93
51873,ROME ,2021,"0-4, Site 13",34.3302,-85.1429,636,1844,5.15,1822,197.6,208.5,136.1,144.5,13.72
51874,ROME ,2021,"0-4, Site 14",34.32988,-85.1424,449,1302,5.36,1383,172.0,148.6,91.3,128.6,11.53
51875,ROME ,2021,"0-4, Site 15",34.3295,-85.1419,515,1494,5.36,1433,256.7,170.4,87.2,164.5,13.51
51876,ROME ,2021,"0-4, Site 16",34.329,-85.1415,505,1465,5.18,1326,99.7,129.2,102.7,167.1,14.77
51877,ROME ,2021,"0-4, Site 17",34.3286,-85.1409,467,1354,4.95,964,155.2,94.1,104.1,190.1,18.39
51878,ROME ,2021,"0-4, Site 18",34.3283,-85.1404,554,1607,5.20,1838,147.2,170.7,140.8,198.3,20.70
51879,ROME ,2021,"0-4, Site 19",34.3279,-85.14,648,1879,5.01,1543,150.8,159.1,151.1,215.1,26.07
51880,ROME ,2021,"0-4, Site 20",34.3275,-85.1395,683,1981,5.05,1831,133.9,190.0,152.1,160.5,22.13
51881,ROME ,2021,"0-4, Site 21",34.3315,-85.1435,454,1317,5.46,1467,272.7,160.4,114.3,155.8,12.12
51882,ROME ,2021,"0-4, Site 22",34.3311,-85.14299,534,1549,5.73,2128,306.9,271.8,88.8,132.9,7.08
51883,ROME ,2021,"0-4, Site 23",34.3307,-85.1424,545,1581,5.51,1617,264.8,170.4,126.4,115.7,9.05
