Point,Sample ID Lab,Horizon,Observational Method,Potential Series (in progress),To Depth (cm),H Depth(cm),Boundary (Bnd),Matrix Color,Clay,Sand,Silt,"Lab Texture (LPSA, preliminary)",Txt Rep?,Field Texture,Field Clay %,Structure,Consistence,Notes,Date Sampled,Depth to water table (if known),Taxonomy,Charcoal Present?,Depletions,Concentrations,htm,intermingle body,plinthitic,Buried,AB,AE,BA,BC,BE,textureimp?
P1,230045,Ap,Auger,Lucy?,0-30,30,,10YR4/2,6.965,83.2,9.835,LS,,LS,,,,POSSIBLE FILL,5/15/2023,,,,,,,,,,,,,,,0
P1,230046,,Auger,Lucy?,30-70,40,,7.5YR4/6,59.75,33.6,6.65,C ,,SCL,,,,"Kaolin common, concentrations",5/15/2023,,,,,Yes,,,,,,,,,,0
P1,230047,,Auger,Lucy?,70-88,18,,10YR3/2,28.85,62.15,9,SCL,,SL,18,,,Kaolin few concentrations,5/15/2023,,,,,Yes,,,,,,,,,,0
P1,230048,,Auger,Lucy?,88-129,41,,10YR4/6,54.15,37.6,8.25,C,,SC,45,,,Kaolin few concentrations. Charcoal present,5/15/2023,,,Yes,,Yes,,,,,,,,,,0
P1,230049,,Auger,Lucy?,129-145,16,,2.5Y3/2,8.52,82.9,8.58,LS,,LS,8,,,Charcoal present,5/15/2023,,,Yes,,,,,,,,,,,,0
P1,230050,,Auger,Lucy?,145-168+,23,,10YR5/4,54.05,37.4,8.55,C,,SCL,,,,Kaolin few concentrations. Charcoal present,5/15/2023,,,Yes,,Yes,,,,,,,,,,0
P2,230051,Ap,Auger,Orangeburg,0-22,22,,10YR4/3,4.825,87.05,8.125,LS,,LS,,1MGr,,,5/15/2023,,,,,,,,,,,,,,,0
P2,230052,BA,Auger,Orangeburg,22-39,17,,10YR4/6,17.05,69.95,13,SL,,SL,17,1MSBK,,,5/15/2023,,,,,,,,,,,,Yes,,,0
P2,230053,Bt3,Auger,Orangeburg,162-191+,29,,10YR6/8,23.35,69.2,7.45,SCL,,SL,15,2MSBK,,clay films,5/15/2023,,,,,,,,,,,,,,,0
P2,230054,Bt1,Auger,Orangeburg,39-96,57,,7.5YR5/8,22.6,64.75,12.65,SCL,,SL,18,2MSBK,,Few organic stains,5/15/2023,,,,,,,,,,,,,,,0
