"UGA: Thibodeaux, Matthew",,,,,,,,2400 College Station Road,,,,,,
"Crop & Soil Science, Levi Lab",,,,,,,,"Athens, GA 30602",,,,,,
GA,,,,,,,,706-542-5350,,,,,,
mlt10722@uga.edu,,,,,,,,soiltest@uga.edu,,,,,,
770-715-74470,,,,,,,,http://aesl.ces.uga.edu,,,,,,
"Received: Dec 22, 2025",,,,,,,,"Completed: Dec 23, 2025",,,,,,
,,,,,,,,,,,,,,
,,ppm CaCO3/pH,,,Mehlich 1   mg/kg (ppm),,,,,,,,,
Lab,Sample,LBC 1,LBCeq,pH 2,Ca,K,Mg,Mn,P,Zn,,,,
24347,230045 - P1 - Ap,184,487,5.20,285.7,59.3,53.0,14.84,22.58,2.61,,,,
24348,230051 - P2 - Ap,97,168,5.35,289.6,35.8,49.7,34.42,18.31,2.54,,,,
24349,230056 - P3 - Ap,85,124,6.04,328.3,37.5,70.4,14.98,42.24,2.01,,,,
24350,230061 - P4 - Ap,108,208,5.52,314.5,61.7,48.3,29.72,17.79,2.57,,,,
24351,240311 - 29 - Ap1,79,102,5.64,325.6,62.8,38.6,18.38,19.12,2.55,,,,
24352,240312 - 29 - Ap2,97,168,5.32,257.6,40.6,44.6,17.62,14.78,1.76,,,,
24353,240316 - 30 - Ap1,86,127,6.18,535.7,63.0,59.5,20.43,26.21,2.51,,,,
24354,240317 - 30 - Ap2,78,98,5.80,263.0,85.7,40.5,14.54,19.12,1.21,,,,
24355,240322 - 40 - Ap,93,153,5.10,255.0,84.4,35.5,15.93,3.48,0.94,,,,
24356,240327 - 61 - Ap,77,94,5.52,241.2,24.5,48.9,20.49,12.82,0.84,,,,
24357,240331 - 68 - Ap1,107,205,6.44,551.7,66.3,95.8,19.38,27.99,2.00,,,,
24358,240332 - 68 - Ap2,89,138,5.57,241.8,63.0,56.5,14.53,21.41,1.08,,,,
24359,240336 - 69 - Ap,99,175,6.19,584.4,66.4,75.1,26.85,22.45,2.00,,,,
24360,240341 - 23 - Ap1,90,142,5.52,344.1,22.6,45.1,19.48,21.38,1.47,,,,
24361,240342 - 23 - Ap2,93,153,5.43,246.6,30.8,16.4,19.25,23.75,1.35,,,,
24362,240346 - 34 - Ap1,130,289,5.89,525.7,57.2,79.2,25.19,22.56,2.43,,,,
24363,240347 - 34 - Ap2,89,138,5.46,218.3,27.2,41.3,19.19,11.90,1.27,,,,
24364,240352 - 44 - Ap1,98,171,5.68,319.7,34.7,58.9,23.57,16.50,1.51,,,,
24365,240358 - 53 - Ap1,85,124,6.32,580.2,45.3,80.5,22.21,17.23,1.67,,,,
24366,240359 - 53 - Ap2,113,227,5.67,230.4,63.5,74.3,15.43,3.57,0.26,,,,
24367,240363 - 54 - Ap1,93,153,5.93,395.1,79.7,37.8,23.63,16.80,1.72,,,,
24368,240364 - 54 - Ap2,106,201,5.25,184.3,55.8,39.6,27.14,8.44,0.78,,,,
24369,240367 - 62 - Ap,78,98,6.03,311.8,34.5,37.6,19.04,21.97,1.33,,,,
24370,240371 - 63 - Ap1,134,304,5.90,505.7,70.2,55.4,33.28,20.81,2.06,,,,
24371,240372 - 63 - Ap2,137,315,5.62,294.2,28.5,40.4,34.46,21.17,1.08,,,,
24372,250197 - 55 - Ap,74,83,5.64,311.1,39.7,35.8,17.02,22.09,1.24,,,,
24373,250201 - 70 - Ap,82,113,6.13,320.3,55.7,65.3,15.09,21.10,0.65,,,,
24374,250205 - 71 - Ap1,137,315,5.39,540.2,54.5,79.5,32.72,40.18,1.58,,,,
24375,250210 - 72 - Ap,85,124,5.76,324.8,92.2,64.3,23.83,20.28,1.70,,,,
24376,250214 - 73 - ^Ap,100,179,6.34,489.9,104.2,65.7,26.32,27.76,1.65,,,,
24377,250219 - 79 - Ap1,67,58,5.65,207.7,31.8,25.9,14.10,17.93,1.25,,,,
24378,250220 - 79 - Ap2,83,116,5.63,197.3,31.8,48.4,8.23,24.26,0.46,,,,
24379,250225 - 80 - Ap1,86,127,5.40,275.9,36.6,37.7,19.52,22.84,20.22,,,,
24380,250226 - 80 - Ap2,65,50,5.45,158.3,20.6,14.5,11.49,19.99,1.95,,,,
24381,250231 - 57 - Ap,454,1317,5.69,1170.8,167.0,164.3,68.98,37.31,3.89,,,,
24382,250236 - 56 - Ap,91,146,5.61,255.9,55.9,40.3,23.77,20.78,1.61,,,,
24383,250240 - 66 - Ap,109,212,6.32,486.8,43.3,33.6,13.80,26.89,1.87,,,,
24384,250244 - 67 - Ap,137,315,5.30,286.7,49.4,46.0,25.89,27.76,2.10,,,,
24385,250248 - 64 - Ap1,97,168,5.63,259.8,39.5,39.8,21.71,19.60,0.87,,,,
24386,250249 - 64 - Ap2,131,293,4.66,93.9,21.2,44.5,18.97,7.42,0.92,,,,
24387,250253 - 75 - Ap1,105,197,5.83,367.1,51.0,34.6,18.84,27.80,1.88,,,,
24388,250254 - 75 - Ap2,65,50,5.21,180.2,33.3,13.3,12.31,37.51,0.70,,,,
24389,250258 - 78 - Ap1,97,168,6.25,507.0,58.6,46.5,21.00,39.64,2.16,,,,
24390,250259 - 78 - Ap2,81,109,6.08,377.0,32.1,21.7,14.99,52.28,0.93,,,,
24391,250263 - 76 - Ap1,74,83,6.43,472.2,68.3,76.0,13.98,38.90,1.26,,,,
24392,250264 - 76 - Ap2,61,36,5.92,277.7,36.9,53.5,9.30,38.04,0.58,,,,
24393,250270 - 77 - Ap1,124,267,5.74,676.6,68.2,43.8,20.01,79.47,2.44,,,,
24394,250271 - 77 - Ap2,90,142,5.95,560.4,46.3,44.0,14.63,49.80,0.71,,,,
24395,250308 - 1 - Ap,113,227,6.56,615.2,93.4,78.7,34.14,31.20,3.28,,,,
24396,250315 - 2 - Ap,81,109,5.72,302.2,64.5,31.9,24.18,23.55,1.82,,,,
24397,250320 - 3 - Ap,105,197,5.72,479.1,66.5,72.3,35.06,29.37,1.72,,,,
24398,250324 - 4 - Ap,90,142,6.10,347.7,56.3,63.1,20.20,13.69,1.54,,,,
24399,250327 - 5 - Ap,91,146,5.45,226.4,26.7,29.7,15.78,28.32,2.20,,,,
