Point,Sample ID Lab,Horizon,Observational Method,Potential Series (in progress),To Depth (cm)
P1,230045,Ap,Auger,Lucy?,0-30
P2,230051,Ap,Auger,Orangeburg,0-22
P3,230056,Ap,Auger,Greenville,0-28
P4,230061,Ap,Auger,Orangeburg,0-32
29,240311,Ap1,Auger,Greenville,0-20
29,240312,Ap2,Auger,Greenville,20-34
30,240316,Ap1,Auger,Greenville,0-11
30,240317,Ap2,Auger,Greenville,11-21
40,240322,Ap,Auger,Greenville,0-13
61,240327,Ap,Auger,Greenville,0-30
68,240331,Ap1,Auger,Greenville,0-16
68,240332,Ap2,Auger,Greenville,16-33
69,240336,Ap,Auger,Greenville,0-18
23,240341,Ap1,Auger,Dothan,0-18
23,240342,Ap2,Auger,Dothan,18-32
34,240346,Ap1,Auger,Bonneau,0-11
34,240347,Ap2,Auger,Bonneau,11-34
44,240352,Ap1,Auger,Bonneau,0-27
53,240358,Ap1,Auger,Lucy,0-26
53,240359,Ap2,Auger,Lucy,26-48
54,240363,Ap1,Auger,Lucy,0-18
54,240364,Ap2,Auger,Lucy,18-36
62,240367,Ap,Auger,Greenville,0-26
63,240371,Ap1,Auger,Faceville,0-26
63,240372,Ap2,Auger,Faceville,26-45
55,250197,Ap,Auger,Greenville,0-35
70,250201,Ap,Auger,Greenville,0-29
71,250205,Ap1,Auger,,0-33
72,250210,Ap,Auger,,0-20
73,250214,^Ap,Auger,,0-15
79,250219,Ap1,Auger,,0-28
79,250220,Ap2,Auger,,28-41
80,250225,Ap1,Auger,,0-23
80,250226,Ap2,Auger,,23-44
57,250231,Ap,Auger,,0-25
56,250236,Ap,Auger,Greenville,0-32
66,250240,Ap,Auger,,0-35
67,250244,Ap,Auger,Greenville,0-20
64,250248,Ap1,Auger,Greenville,0-30
64,250249,Ap2,Auger,Greenville,30-41
75,250253,Ap1,Auger,Greenville,0-17
75,250254,Ap2,Auger,Greenville,17-28
78,250258,Ap1,Auger,,0-17
78,250259,Ap2,Auger,,17-31
76,250263,Ap1,Auger,Greenville,0-20
76,250264,Ap2,Auger,Greenville,20-33
77,250270,Ap1,Auger,,0-27
77,250271,Ap2,Auger,,27-46
1,250308,Ap,Probe,,0-28
2,250315,Ap,Probe,Greenville,0-23
3,250320,Ap,Probe,Greenville,0-39
4,250324,Ap,Probe,,0-30
5,250327,Ap,Probe,,0-35
6,250332,Ap,Probe,,0-28
7,250337,Ap,Probe,,0-12
10,250344,Ap,Probe,,0-25
11,250349,Ap,Probe,,0-22
12,250354,Ap,Probe,,0-29
13,250359,Ap,Probe,,0-30
14,250365,Ap,Probe,,0-29
15,250369,Ap,Probe,,0-28
20,250374,Ap,Probe,Lakeland?,0-29
21,250379,Ap,Probe,,0-27
22,250384,Ap,Probe,,0-22
24,250389,Ap,Probe,Stilson?,0-35
25,250395,Ap1,Probe,,0-24
25,250396,Ap2,Probe,,24-45
31,250402,Ap1,Probe,,0-18
31,250403,Ap2,Probe,Greenville,18-32
32,250407,Ap,Probe,,0-10
33,250412,Ap,Probe,,0-22
35,250417,^Ap,Probe,,0-21
36,250422,Ap,Probe,Orangeburg,0-25
41,250427,Ap,Probe,,0-19
42,250431,Ap1,Probe,Dothan,0-23
42,250432,Ap2,Probe,Dothan,23-39
43,250437,Ap,Probe,,0-31
45,250442,Ap1,Probe,,0-19
45,250443,Ap2,Probe,,19-35
46,250447,Ap,Probe,,0-18
52,250451,Ap1,Probe,Candor,0-8
52,250452,Ap2,Probe,Candor,8-31
8,250459,Ap,Probe,,0-21
49,250463,^Ap,Probe,,0-29
17,250468,Ap,Probe,,0-18
48,250473,Ap,Probe,,0-11
38,250479,Ap,Probe,,0-26
16,250484,Ap,Probe,,0-30
37,250489,Ap,Probe,,0-17
47,250493,Ap,Probe,,0-22
26,250498,Ap,Probe,,0-20
19,250503,Ap,Probe,,0-18
27,250508,Ap,Probe,,0-30
9,250512,Ap,Probe,,0-29
18,250517,Ap,Probe,Orangeburg,0-25
28,250522,Ap1,Probe,,0-15
28,250523,Ap2,Probe,,15-28
