ID,OBJECTID_1,Label,Row,PointLabel,x,y,RowNUM,one,Plbsac,type,LBC.1,LBCeq,pH.2,Ca,K,Mg,Mn,P,Zn,geometry
240400,1,1,A,1A,-83.7362073,32.43793973,0,1,92,SPID,189,506,6.55,661,64.3,74.8,17.5,45.86,6.75,"c(242744.7559, 3592276.0907, 0)"
240401,1,1,A,1A,-83.7362073,32.43793973,0,1,92,CID,184,487,6.23,528,58.6,63.2,10.25,38.61,5.41,"c(242744.7559, 3592276.0907, 0)"
240402,2,2,A,2A,-83.73525054,32.43793646,0,1,161,SPID,202,553,5.98,655,76.3,76.6,19.04,80.68,26.25,"c(242834.729, 3592273.4214, 0)"
240403,2,2,A,2A,-83.73525054,32.43793646,0,1,161,CID,170,436,5.87,654,78.3,95.6,17.83,82.64,30.42,"c(242834.729, 3592273.4214, 0)"
240404,3,3,A,3A,-83.73429379,32.43793318,0,1,49,SPID,242,700,6.21,635,97.7,79.8,24.25,24.61,1.53,"c(242924.7019, 3592270.7521, 0)"
240405,3,3,A,3A,-83.73429379,32.43793318,0,1,49,CID,193,520,6.08,510,64.3,54.3,13.41,17.73,1.26,"c(242924.7019, 3592270.7521, 0)"
240406,4,4,A,4A,-83.73333703,32.43792989,0,1,31,SPID,156,384,6.18,623,63.3,55.1,17.86,15.66,1.89,"c(243014.6748, 3592268.0827, 0)"
240407,4,4,A,4A,-83.73333703,32.43792989,0,1,31,CID,204,561,6.18,451,57.2,65.5,14.56,13.75,1.36,"c(243014.6748, 3592268.0827, 0)"
240408,5,5,A,5A,-83.73238028,32.4379266,0,1,62,SPID,149,359,5.9,413,63.2,53.1,14.47,31.22,1.28,"c(243104.6476, 3592265.4134, 0)"
240409,5,5,A,5A,-83.73238028,32.4379266,0,1,62,CID,187,498,6.12,539,49.9,66,9.53,19.93,1.5,"c(243104.6476, 3592265.4134, 0)"
240410,6,6,A,6A,-83.73142353,32.43792329,0,1,55,SPID,196,531,6.03,441,48.9,56.9,15.2,27.72,1.2,"c(243194.6204, 3592262.7441, 0)"
240411,6,6,A,6A,-83.73142353,32.43792329,0,1,55,CID,154,377,5.84,552,50.1,73.8,21.09,31.38,4.1,"c(243194.6204, 3592262.7441, 0)"
240412,7,7,A,7A,-83.73046677,32.43791998,0,1,33,SPID,164,414,5.62,408,37.2,38.5,21.6,16.66,2.43,"c(243284.5931, 3592260.0748, 0)"
240413,7,7,A,7A,-83.73046677,32.43791998,0,1,33,CID,187,498,5.65,328,28.6,25.1,9.46,16.82,1.27,"c(243284.5931, 3592260.0748, 0)"
240414,8,8,A,8A,-83.72951002,32.43791667,0,1,26,SPID,128,282,5.84,345,53.2,61.4,17.63,13.1,1.38,"c(243374.5658, 3592257.4054, 0)"
240415,8,8,A,8A,-83.72951002,32.43791667,0,1,26,CID,172,443,5.82,288,35.7,41.9,14.65,17.16,1.53,"c(243374.5658, 3592257.4054, 0)"
240416,9,9,A,9A,-83.728561,32.437943,0,1,35,SPID,148,355,5.36,313,90,57.2,53.17,17.66,6.21,"c(243464.5383, 3592254.7361, 0)"
240417,9,9,A,9A,-83.728561,32.437943,0,1,35,CID,120,252,5.42,110,25.9,20.5,6.31,2.02,0.19,"c(243464.5383, 3592254.7361, 0)"
